MARKET,NAME,SYMBOL,DATEDEAL,OPEN,HIGH,LOW,CLOSE,DIFF,VOLUME
KOSPI,삼성전자,005930,2017-01-11,37520,38560,37420,38280,2.79,240363
KOSPI,삼성전자,005930,2017-01-12,38000,38800,37980,38800,1.36,233383
KOSPI,삼성전자,005930,2017-01-13,38100,38319,37460,37460,-3.45,319089
KOSPI,삼성전자,005930,2017-01-16,36860,37820,36320,36660,-2.14,332230
KOSPI,삼성전자,005930,2017-01-17,36580,37460,36580,36960,0.82,163014
KOSPI,삼성전자,005930,2017-01-18,37040,37500,36620,36940,-0.05,177508
KOSPI,삼성전자,005930,2017-01-19,37720,37920,37020,37480,1.46,188378
KOSPI,삼성전자,005930,2017-01-20,37120,37420,36880,37200,-0.75,183700
KOSPI,삼성전자,005930,2017-01-23,37200,38060,37000,38060,2.31,176208
KOSPI,삼성전자,005930,2017-01-24,38120,38580,37880,38160,0.26,220975
KOSPI,삼성전자,005930,2017-01-25,38340,39400,38320,39400,3.25,268677
KOSPI,삼성전자,005930,2017-01-26,39420,40000,39420,39900,1.27,304290
KOSPI,삼성전자,005930,2017-01-31,39900,39900,39460,39460,-1.1,359844
KOSPI,삼성전자,005930,2017-02-01,39540,39660,39039,39120,-0.86,283008
KOSPI,삼성전자,005930,2017-02-02,39600,39660,39200,39360,0.61,300586
KOSPI,삼성전자,005930,2017-02-03,39400,39500,39180,39460,0.25,207727
KOSPI,삼성전자,005930,2017-02-06,39580,39660,39140,39560,0.25,177214
KOSPI,삼성전자,005930,2017-02-07,39560,39580,38760,38820,-1.87,280836
KOSPI,삼성전자,005930,2017-02-08,38740,38779,38200,38400,-1.08,341859
KOSPI,삼성전자,005930,2017-02-09,38779,38840,38219,38400,0,273883
KOSPI,삼성전자,005930,2017-02-10,38400,38760,38300,38360,-0.1,220415
KOSPI,삼성전자,005930,2017-02-13,37740,38060,37720,37960,-1.04,222041
KOSPI,삼성전자,005930,2017-02-14,37960,38260,37320,37580,-1,262483
KOSPI,삼성전자,005930,2017-02-15,37080,37960,37080,37720,0.37,283831
KOSPI,삼성전자,005930,2017-02-16,37800,38360,37780,38020,0.8,204527
KOSPI,삼성전자,005930,2017-02-17,37560,38040,37280,37860,-0.42,307549
KOSPI,삼성전자,005930,2017-02-20,38220,38780,38160,38660,2.11,149716
KOSPI,삼성전자,005930,2017-02-21,38540,39560,38420,38940,0.72,211252
KOSPI,삼성전자,005930,2017-02-22,39000,39340,38980,39300,0.92,170789
KOSPI,삼성전자,005930,2017-02-23,39020,39440,39020,39180,-0.31,204346
KOSPI,삼성전자,005930,2017-02-24,38960,39100,38060,38220,-2.45,185937
KOSPI,삼성전자,005930,2017-02-27,38020,38140,37700,38060,-0.42,180674
KOSPI,삼성전자,005930,2017-02-28,38059,38760,37960,38440,1,301774
KOSPI,삼성전자,005930,2017-03-02,38420,39860,38420,39720,3.33,424996
KOSPI,삼성전자,005930,2017-03-03,39340,39720,39160,39620,-0.25,254174
KOSPI,삼성전자,005930,2017-03-06,39220,40220,39220,40080,1.16,244697
KOSPI,삼성전자,005930,2017-03-07,39800,40320,39800,40200,0.3,211065
KOSPI,삼성전자,005930,2017-03-08,40200,40620,40140,40200,0,242819
KOSPI,삼성전자,005930,2017-03-09,40200,40300,40020,40200,0,287445
KOSPI,삼성전자,005930,2017-03-10,39960,40420,39860,40180,-0.05,204556
KOSPI,삼성전자,005930,2017-03-13,40039,40980,40039,40600,1.05,148482
KOSPI,삼성전자,005930,2017-03-14,40620,41540,40500,41360,1.87,226501
KOSPI,삼성전자,005930,2017-03-15,40800,41440,40800,41400,0.1,191757
KOSPI,삼성전자,005930,2017-03-16,41800,42180,41540,41840,1.06,198663
KOSPI,삼성전자,005930,2017-03-17,41800,42500,41720,42400,1.34,252046
KOSPI,삼성전자,005930,2017-03-20,42000,42120,41740,41900,-1.18,205001
KOSPI,삼성전자,005930,2017-03-21,41780,42680,41760,42560,1.58,284403
KOSPI,삼성전자,005930,2017-03-22,41600,42460,41580,42460,-0.23,328545
KOSPI,삼성전자,005930,2017-03-23,42200,42360,41700,41800,-1.55,307942
KOSPI,삼성전자,005930,2017-03-24,41600,41980,41080,41500,-0.72,256163
KOSPI,삼성전자,005930,2017-03-27,41200,41880,41180,41200,-0.72,243553
KOSPI,삼성전자,005930,2017-03-28,41560,41840,41380,41480,0.68,164325
KOSPI,삼성전자,005930,2017-03-29,41740,41960,41580,41780,0.72,201865
KOSPI,삼성전자,005930,2017-03-30,41880,42440,41880,41980,0.48,164080
KOSPI,삼성전자,005930,2017-03-31,41820,42020,41200,41200,-1.86,210006
KOSPI,삼성전자,005930,2017-04-03,41400,41720,41300,41440,0.58,191588
KOSPI,삼성전자,005930,2017-04-04,41600,42180,41520,42080,1.54,245110
KOSPI,삼성전자,005930,2017-04-05,41900,42240,41700,42140,0.14,213994
KOSPI,삼성전자,005930,2017-04-06,42000,42080,41600,41840,-0.71,193668
KOSPI,삼성전자,005930,2017-04-07,41800,41820,41160,41600,-0.57,200420
KOSPI,삼성전자,005930,2017-04-10,41940,41940,41500,41940,0.82,142827
KOSPI,삼성전자,005930,2017-04-11,41940,41940,41580,41600,-0.81,143458
KOSPI,삼성전자,005930,2017-04-12,41860,41940,41700,41900,0.72,165498
KOSPI,삼성전자,005930,2017-04-13,41660,42460,41660,42420,1.24,180816
KOSPI,삼성전자,005930,2017-04-14,42160,42260,41760,42020,-0.94,109257
KOSPI,삼성전자,005930,2017-04-17,42000,42080,41520,41560,-1.09,104495
KOSPI,삼성전자,005930,2017-04-18,41680,41820,41280,41500,-0.14,137213
KOSPI,삼성전자,005930,2017-04-19,41299,41420,40900,40900,-1.45,235258
KOSPI,삼성전자,005930,2017-04-20,40580,40800,40080,40280,-1.52,422977
KOSPI,삼성전자,005930,2017-04-21,40480,41400,40480,40760,1.19,302610
KOSPI,삼성전자,005930,2017-04-24,41260,41260,40920,41240,1.18,179803
KOSPI,삼성전자,005930,2017-04-25,41460,42740,41320,42700,3.54,385992
KOSPI,삼성전자,005930,2017-04-26,42700,42800,42520,42800,0.23,295896
KOSPI,삼성전자,005930,2017-04-27,42700,44520,41960,43840,2.43,460645
KOSPI,삼성전자,005930,2017-04-28,45780,45800,44520,44620,1.78,453714
KOSPI,삼성전자,005930,2017-05-02,45500,45500,44760,44900,0.63,281366
KOSPI,삼성전자,005930,2017-05-04,45700,45700,44860,45520,1.38,273802
KOSPI,삼성전자,005930,2017-05-08,45520,47020,45340,47020,3.3,391651
KOSPI,삼성전자,005930,2017-05-10,46160,47220,45600,45600,-3.02,468219
KOSPI,삼성전자,005930,2017-05-11,45420,46180,45220,45500,-0.22,425557
KOSPI,삼성전자,005930,2017-05-12,45760,46160,45660,45820,0.7,188458
KOSPI,삼성전자,005930,2017-05-15,45620,46280,45620,46100,0.61,160028
KOSPI,삼성전자,005930,2017-05-16,46660,46800,46100,46380,0.61,176075
KOSPI,삼성전자,005930,2017-05-17,46120,46640,46100,46340,-0.09,148489
KOSPI,삼성전자,005930,2017-05-18,45740,46000,45540,45940,-0.86,223207
KOSPI,삼성전자,005930,2017-05-19,45640,45780,44720,44720,-2.66,315247
KOSPI,삼성전자,005930,2017-05-22,45040,45380,44760,45100,0.85,352871
KOSPI,삼성전자,005930,2017-05-23,45400,45580,44900,44920,-0.4,252141
KOSPI,삼성전자,005930,2017-05-24,44860,45300,44800,44880,-0.09,173508
KOSPI,삼성전자,005930,2017-05-25,45160,45680,44800,45680,1.78,260896
KOSPI,삼성전자,005930,2017-05-26,45600,46460,45540,46080,0.88,272273
KOSPI,삼성전자,005930,2017-05-29,46220,46400,45380,45620,-1,174791
KOSPI,삼성전자,005930,2017-05-30,45520,45660,44480,44640,-2.15,248672
KOSPI,삼성전자,005930,2017-05-31,44580,45020,44400,44700,0.13,373382
KOSPI,삼성전자,005930,2017-06-01,44860,44900,44400,44680,-0.04,195070
